,User_name,Review title,Review Rating,Review date,Review_body,Movie_name,movie_id
0,bob-the-movie-man,"""I'll. Be. Right. Here.""",9/10,5 January 2017,"The worst thing about this movie is its title. The second worst thing about this movie is its trailer. Both will either a) put people off seeing it (it succeeded in that with my wife for example) or b) make people conclude it is a 'nice holiday film to take the kids to', which is also an horrendous mistake!This is a crying shame because it is a riveting drama and a superb piece of film-making that may well catapult it already into my top 10 films of 2017. But it is not, I would suggest, a film that is remotely suitable for kids under 10 to see, dealing as it does with terminal illness, bullying and impending doom. For this is a dark (read pitch black) but hauntingly beautiful film.Lewis MacDougall, in only his second film (after last year's ""Peter Pan"") plays Conor - a young but talented and sensitive artist growing up as a 12 year old in the North of England with his single mum (Felicity Jones). She is suffering from an aggressive form of cancer and is forever medically grasping for a new hope (D'ya see what I did there?). Young Conor believes fervently that each new treatment will be 'the one' but the building tension, the lack of sleep and his recurrent nightmares are destroying him mentally and physically. As if this wasn't enough, his distracted nature is leading to him being seriously bullied at school and there is the added stress of having to live in his grandmother's pristine and teen-unfriendly house when his mother is hospitalised. Towering over the nearby graveyard on the hill is an ancient yew tree and Conor is visited after midnight by this ""monster"" (voiced by Liam Neeson). Is he dreaming, or is it real? The tree dispatches wisdom in the form of three 'tales', with the proviso that Conor tell the tree the fourth tale which ""must be the truth"".A tale of grief, guilt and a search for closure, this is a harrowing but rewarding journey for the viewer. The film is technically outstanding on so many levels:the art design is superb, with the gorgeous 'tale animations' being highly reminiscent of the beautiful ones in ""Harry Potter and the Deathly Hallows, Part 1""; the use of sound is brilliant, with sudden silence being used as a weapon with which to assault the senses in one key sequence; - the cinematography by Oscar Faura (""The Imitation Game"") is faultless, capturing both the dreary reality in a Northern winter with the comparative warmth of the strange dream-like sequences;the music by Fernando Velázquez is used effectively and intelligently to reflect the sombre mood; the special effects team led by Pau Costa (""The Revenant"", ""The Impossible"") shines not just with Neesen's monster, but with the incorporation of the root and branch effects into the 'normal' surroundings. As the BFG illustrated, having a whole film carried by a young actor is a bit of an ask, but here Lewis MacDougall achieves just that like a seasoned pro. His performance is nothing short of staggering and - although a brave move by the Academy - it would be great to see him nominated for a BAFTA acting award for this.Confirming her position in the acting top-flight is Felicity Jones, heart-wrenching in her role of the declining mum, and Sigourney Weaver is also excellent as the po-faced but grief-stricken grandmother. Liam Neeson probably didn't add much by getting dressed up in the mo-cap suit for the tree scenes, but his voice is just perfect as the wise old sage.The only criticism of what is an absorbing and intelligent script is the introduction of Conor's Dad, played by Toby Kebbell (Dr Doom from ""The Fantastic 4""), who is literally flown in from LA on a flying visit but whose role is a little superfluous to the plot. This is exactly what ""The BFG"" should have been but wasn't. It draws on a number of potential influences including ""Mary Poppins""/""Saving Mr Banks"" and ""ET"". Wise, clever and a thing of beauty from beginning to end, this is a treat for movie-goers and a highly recommended watch. However, if you have lost someone to ""the Big C"" be aware that this film could be highly traumatic for you..... or highly cathartic: as I'm not a psychiatrist, I'm really not that sure! Also, if you are of the blubbing kind, take LOTS of tissues: the film features the best use of a digital clock since ""Groundhog Day"" and if you are not reduced to tears by that scene you are certifiably not human. (For the graphical version of this review, please check out http://bob- the-movie-man.com).",A Monster Calls,3416532
1,Blue-Grotto,Only truths will quench the fires of the heart,9/10,16 October 2016,"A scary looking tree in the middle of a graveyard haunts the dreams of a little boy, Conor, who already has enough troubles while awake. A mother (Felicity Jones) with terminal cancer, bullies, absent father, dictatorial grandma (Sigourney Weaver) and now a threatening monster (Liam Neeson) to visit him at night; poor Conor does not have a lot going for him. On the plus side, the monster has only three stories to tell, yet when finished he insists that Conor tell a story of his own that reveals the truths in his heart. The monster's stories touch upon themes gnawing at Conor; the good and bad in every person, the consequences of actions and an invisible man who becomes more invisible by being seen. Still Conor refuses to acknowledge the truths. ""You don't know me,"" he shouts ""these stories are not real!"" The monster then lays down the law, ""I know everything about you, now speak the truth or die!""A Monster Calls includes some amazing visual effects, fantastic scenes and brilliant dialogue. The film explores in compelling and thrilling ways how fantasy combines with reality, how people deal with their fears (for better and worse) and the tremendous power of stories. The actors are convincing and captivating and Neeson's voice is mesmerizing. You'd rob a bank if his voice told you to. Animation is used to illustrate the monster's stories. A Monster Calls is based on a novel by Patrick Ness. Seen at the 2016 Toronto International Film Festival.",A Monster Calls,3416532
2,ma-cortes,Dramatic as well as spectacular Spanish/British/US co-production based on a prestigious novel and masterfully directed by Juan Antonio Bayona,8/10,1 February 2019,"Stirring and tragical story based on a notorious novel and competently directed by Juan Antonio Bayona . Including an engaging screenplay by Patrick Ness , based upon the novel written by himself from an original idea by Siobhan Dowd . A devastating event happens in the life of a little boy , twelve-year-old Conor (Lewis MacDougall) , as he seeks the help of a tree monster to cope with his single mother's (Felicity Jones) terminal . Meanwhile , he must face his stiff-upper-lip grandmother (Sigourney Weaver) , his estranged father (Toby Kobbel) and the school bully . This is one family's moving story of sadness and love . As Conor is caught in a chaotic self-destruction , when he then is visited by the tree-like Monster (Lian Neeson) , who tells Conor it has to come to tell him three true stories . However , nothing is more powerful than the human spirit . Stories are wild creatures. Courage conquers all . Will he survive ?It's a grade A picture , a gem , absorbing , riveting , highly moving , incredibly tense .This is a very touching story about a boy who feels very damaged , unsettling , guilty and mostly angry , as well as his relationship with a benevolent and wise tree-like monster that has points in common with Treebeard the Ent from Lord of the Rings . This is a psychological/exciting/thrilling drama in which a boy becomes involved into a terrible tragedy . It is a smart and sensitive flick filled with intense drama , thrills , emotion , tear-jerker , state-of-art special effects , and pretty entertaining , though overlong . The complex plot deals with a tree-monster who tells three tales and after which Conor must tell the Monster his own story: the truth behind his nightmare, which Conor refuses to do. Interesting and thought-provoking screenplay based on a novel that was originally started by Siobhan Dowd who left it unfinished, at her death. Patrick Ness finished the book with credits to her idea. This stirring pic is a tightly-knit drama centered on the relentless personal fight , as it follows an affected boy suffering extreme bullying , and a seriously wounded mother , as she struggles to survive . The picture makes up for it with an evolving atmosphere of anxiety and fear . Everything in Juan Antonio Bayona 's impressive film looks so real that you might think it's a highly fantastic movie full of imagination and color , thanks to the sensational animated images and cartoon resolution . And a great main and support cast , such as Lewis MacDougall , Sigourney Weaver , Felicity Jones , Toby Kebbell . And Liam Neeson, who provides the voice of the Monster , appears as Conor's grandfather in the photo of Conor's mother as a little girl being carried by her father .Lavishly produced by Enrique López Lavigne , Belen Atienza , Patrick Ness , Bill Pohlad , Jeff Skoll , Patrick Wachsberger , among others.There is the urgent hand-held camera-work, a trademark refined and perfected by cameraman Oscar Faura , which lends an air of pseudo-authenticity to carefully staged reconstructions, putting us right there in the huddle of the action . Shot in various locations as Castlefield, Manchester, Greater Manchester, England, Cabrils, Barcelona, Catalonia, Delph, Greater Manchester, England, UK , the school scenes were shot at Colne Valley High School in Linthwaite, Huddersfield, England. Furthermore , an emotive as well as enjoyable musical score by Fernando Velazquez .The motion picture was compellingly directed by Juan Antonio Bayona who proved his usual aesthetics and nail-biting filmmaking as well as he formerly made in ¨the orphanage¨and ¨The imposible¨or ¨Lo imposible¨ . Bayona has directed 1 actress to an Academy Award-nominated performance: Naomi Watts (Best Actress, Lo imposible or the impossible (2012) and Sigourney Weaver in this ¨A monster call¨. Rating : This excellent film results to be above average , a really magnificent movie . Essential and indispensable seeing . The picture will appeal to J.A. Bayona fans .",A Monster Calls,3416532
3,kosmasp,Sweet Monster of mine,9/10,21 May 2021,"Sweet may not be the right word here, but I was trying to refer to a song and make a joke with that - if you are able to indulge that. A very moving drama we have here, with not as much comedy or humor as I may make it look like. With Liam Neeson as voice of that said monster, we get the story of a boy who is cannot accept that his mother is ill. And we can all connect and feel with what the boy goes through.Seeing a light at the end of the tunnel and hoping he might get help - or rather that the his mother will receive help for her illness. Life is not easy - and sometimes having an escape in fantasy can help. Not going full on - well there is a fine line of course. But everyone deals differently with bad news ... and our boy here seems to have his rich imagination to go back to ... but is it just his imagination? By the way really well done special effects.A great story, not always easy to watch, but one that engages with the viewer who can go into a different mind set and world.",A Monster Calls,3416532
4,jadepietro,A Grimm Tale Indeed,8/10,16 January 2017,"￼(RATING: ☆☆☆☆ out of 5)THIS FILM IS RECOMMENDED. IN BRIEF: A visually stunner caught up in the undergrowth of its own conventional storytelling.GRADE: BSYNOPSIS: A child suffers the harsh realities of life and retreats to another world.JIM'S REVIEW: J. A. Bayona's A Monster Calls is a visually imaginative downer of a tale about a young boy who must learn to cope with grief. Based on the award-winning children's book by Patrick Ness and adapted by the author himself, the film uses animation and live action to tell its tale of woe. The results of this dark tale are enlightened by stylish direction and a highly effective performance by newcomer. Lewis MacDougall.Mr. MacDougall plays Conor O'Malley whose life is filled with too many harsh realities: a mother suffering from terminal cancer (Felicity Jones), a distant grandmother (Sigourney Weaver) and a more distant father (Toby Kebbell), a cruel bully (James Melville). Real life offers no solitude, so Conor retreats to an imaginary world which brings with it a giant yew monster (Liam Neeson). During his visits, the tree creature provides some respite for Conor. He gives him sage advice by telling some stories to help this child through the darkness to find some solace in the real world. ￼A Monster Calls is more of an allegory and the film's narrative structure uses the format of interspersing animated vignettes as parables to the parallel story of Conor and his terminally-ill mother. Yes, the film is manipulative from the start, with its undeniable melodramatic set-up and ultimately tragic conclusion. The real world story is dull and so relentless in its brooding melancholia compared to the free-spirited other worldly realm and, at times, this reviewer wanted to stay in the latter. But the filmmakers treat their serious subject with such dignity and honesty, avoiding the maudlin and sentimental for the most part. There is so much to admire about Mr. Bayona's film. (The subject is not an easy task to sell to the general public. Not surprisingly, the movie is doing lackluster business in the States, although globally it is doing well. Nowadays, American moviegoers are looking to escape reality, such like the main character.)Technically, the film soars. From Oscar Fuura's stunning photography to Fernando Velazquez's haunting music score, the film looks death squarely in the face and celebrates life. Seamlessly edited by Benat Vilplana and Jaume Marti, A Monster Calls uses its sumptuous visuals to its advantage. With swirls of bright watercolor washes adding a vibrancy to the film's story-within- a story format, the film efficiently contrasts the real from the unreal. Kudos to director Bayona and his team of artisans on their handling of this delicate theme.The lead performances are all first-rate, Mr. Neeson voices the Monster perfectly and his motion capture performance is wonderful and so heartfelt. Ms. Jones brings superb understatement to her role as Conor's sickly parent. Her chemistry with Mr. MacDougall seems genuine and authentic. This young actor, in his film debut, is remarkable and runs the full gamut of emotions without one false note. Providing supporting work in their rather stock roles are Ms. Weaver and Mr. Kebbell who are merely serviceable, possibly due to the writing and characters.￼A Monster Calls is indeed a Grimm tale, but one that deserves your attention. And be forewarned, bring a hankie with you.",A Monster Calls,3416532
5,joshbarton15,One of the most emotionally powerfully films I've seen in a while,10/10,10 December 2016,"Based on the novel of the same name by Patrick Ness, A Monster Calls is one of the most emotionally powerful films I've seen in a long time. Directed by J. A. Bayona, this is a film you'll want to be making sure you have a pack of tissues ready for. Conor O'Malley (Lewis MacDougall) lives at home with his terminally ill mother (Felicity Jones). Bullied relentlessly at school on a daily basis and with no friends, Lewis finds himself spending most of the free time he does have helping his mother.One night, Conor encounters a monster (Liam Neeson) in the form of a giant yew tree. With the help of the monster, Conor learns a number of valuable life lessons, as well as facing the nightmarish reality he knows will come soon enough.Reports of A Monster Calls causing audiences to flood theatres with tears during the festival circuit have been well documented however, even they couldn't prepare me for J. A. Bayona's stunningly beautiful film. The warning of emotional distress was even there for all to see as the classification certificate appeared on screen prior to the film.This is an incredibly moving story, depressing for the most part however, thanks to the fantasy elements of the story and the relationship Lewis has with the monster, it can be strangely uplifting at times. The film packs one hell of an emotional punch towards the end but it doesn't just spring it on the audience because you can sense that is exactly where it's going from the very beginning.The performances of Felicity Jones, Sigourney Weaver and Toby Kebbell are all good but there is no debating here that the film ultimately belongs to the young Lewis MacDougall, who manages to deliver a performance that would make you think he's been acting for years, when this is in fact only his second film. MacDougall really makes you empathise with Conor and his performance in the final stages of the film is sensational.The visuals deserve a special mention as well, the monster in particular brought to life quite brilliantly through special effects and a gruff vocal performance from Liam Neeson. They go hand- in-hand with Bayona's visionary style as a director to make A Monster Calls a must-see film.",A Monster Calls,3416532
6,kraytdragon-sean,Emotionally Honest,9/10,5 January 2017,"A Monster Calls is the rare movie geared toward a younger demographic which refuses to pull an emotional punch. The movie explicitly states that the protagonist, Connor O'Malley, is ""too old to be a kid and too young to be a man"". The introductory tagline is the perfect way to relay the film's tone to the audience. From the brutally honest acting to the gorgeously animated ""stories"", A Monster Calls allows raw emotion to emanate from the experience. Magic on the screen happens due to the unique specificity of our hurt hero. The fantastical elements found in a typical family movie organically merge with the painful reality of adulthood. For example, a fight will begin building up in Connor and the anger will call out the monster. The monster is never a simple vicarious outlet for the young adult. Instead, the monster is a well-executed manifestation of perceived guilt towards a deeper truth. Liam Neeson's monster revels in the humanity of the moment while also holding a magnifying glass up to it. Life continues to get worse for Connor and each appearance leads to a gradual slip of harsh reality. Refreshingly, A Monster Calls never hides that uncovering important personal insight is a painful process. The climax makes up for one of the most touching revelatory moments in modern cinema. The value of the film is revealed in how both children and adults in the audience gain a better understanding of the inherently personal nature of grief. The way we deal with a loss can come across as something else entirely for ourselves. A wide release of the film will hopefully begin to kindle in an audience a desire for introspective cinema. In a sense, specific scenarios are able to paradoxically tap into a universally human truth. Movies like A Monster Calls show a better alternative to the next soulless generic blockbuster movie.",A Monster Calls,3416532
7,assassin-42523,Absolutely blown away,9/10,14 December 2016,"When I first walk into theater, I was not expecting much of this. Yeah, the first moments were so cliché I thought this would just be a mediocre movie at best. But after the movie, everything changed, and this became one of the best movies I've seen in years The director use beautifully rendered CGI to deliver the emotions of a struggling young boy coping with reality. It was already a hard concept that few movie successfully delivered, and yet he make so many people I know broke down in tears. Moreover, he also make use of the visual to express the incredibly complicated yet meaningful plot of the movie, constantly changing between fantasy and reality, truth and lies, acceptance and the growing of a boy into adulthood. The main actor while only a young man has already show signs of greatness, you can only wonder if he had already gone through all of this. He also actually took the time to developed each character, making the audiences attach to each and everyone of them. Which is why the ending was even more dramatic and sad for many of us And the soundtrack, oh man, the soundtrack just hit me where it really feels, this is probably the best part of this movie. Whether it's total silence for contemplation of characters or full- on orchestral work for the climax or the sad violin, man, they totally nailed it.",A Monster Calls,3416532
8,MattBrady099,A Monster Calls - Movie Review,8/10,13 November 2016,"""There is not always a good guy. Nor is there always a bad one. Most people are somewhere in between.""Before seeing the movie, I didn't know much about ""A Monster Calls"". The only information I got from it is that it's based on Patrick Ness novel and the trailer had a ""Iron Giant"" vibe to it. I also liked the director (Juan Antonio Bayona) previous movies, so I guess that's what peaked my interest in seeing it. And I came out pretty surprised of how good it was. Not just that, but how moving and heartfelt it was.Juan Antonio Bayona is the type of director that knows how to tell a compelling story in his films. To screw lose the sentiment, until your eyes are filled with water to the point where you can't help but spill out. And in this movie he dose exactly that and how smart he was with it's decisions of the emotional scenes.There's a lot of great actors in this and none of them are put to waste. Liam Nesson was excellent as The Monster. Sigourney Weaver was great as the Grandma. Felicity Jones and Toby Kebbell were also great as Connor parents. But I think the real stand is Lewis MacDougall as (Connor). Even at the age of 14 this kid literally carries this movie and really dose reflect Connor's inner conflict.That's what I notice in Bayona movies. All of the kid actors in his movies are pretty solid and I would go as far to say that they better than the adults. This is very rare for me to say that, because most kid actors suck. Yes there are good ones out there, but only some, as most of them don't fully bring their all.The visual effect's were pretty stunning and impressive of how it interacted with the real environment that it was in. In all honesty, I was pretty surprised. And what I mean by ""surprise"" is that I was expecting The Monster itself to be the only effect in the movie. Because The Monster tells three stories to Conner and all three are done in a visual dye artwork that's beautiful to look at. It's good to be surprise.For problems I had with the movie are slim, but if I had to pick, I would probably say that films message can be a little repetitive and oblivious towards the end. I think that may bug some people. But still, it's a great message that's speaks the truth and actually sticks to it. I mean, if the message was terrible or nothing special, then this might be a big complaint. The film doesn't have an happy ending and neither a sad one. There's no Hollywood ending or anything like that. It would say it's mixed.Overall rating: ""A Monster Calls"" is entertaining, sad, and unforgettable tale that sticks with you after it's over. The film tells the truth and nothing but the truth of life. You want everything to be alright for this kid, but you're left with a feeling of stillness. Like you can't do anything about it, even with all the magical things that's happening. It just gotta let it happen....that's life.",A Monster Calls,3416532
9,Heyitsbennett,Beautiful. Heartbreaking. Healing.,9/10,26 January 2021,"I just went through a massive grief episode about a week before I watched this movie, so I was a little nervous it would make me cry and feel it all over again. And yup, it definitely made me cry, but in a healing way. The message in this movie is beautiful and healing and incredibly real for those who have gone through grief. It helped me heal while listening to the stories and message in this movie, and at the end I felt calm and relief. This movie was a physical description of everything I've felt bottled inside, and it was cathartic to see it play out so perfectly on screen. Incredible.
                
                    20 out of 23 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",A Monster Calls,3416532
